tweet,sentiment_score,sentiment
"RT @sofia3973: STOP SAYING “MAKE A PRESENTATION FOR ME.”

AI isn’t confused.
Your prompt is.

Use these smart prompts instead:",-0.368,Negative
RT @kellyeld: Fashion and dance today. With a new song “You Got Me Feeling Something” Images: #Midjourney Animation: #VEO3 Song #Suno Lyric…,0.128,Positive
@Manservant_H @theprabhakars @WallStreetApes AI slopomatic,0,Neutral
"RT @DuckWarriorLily: If you're against AI, repost this",0,Neutral
@ai_hiyo_ @grok https://t.co/M5HXzVWJHS,0,Neutral
"RT @higan_wafu: 3年間絵師さんが受けてる被害だ...

どういう事かというと
警察に被害届出されたら不味い
→AIユーザー「せや、警察行っても無駄と思わせればいいんだ」
→被害者が悪いと相手に攻撃する
→被害訴える事自体が悪と被害者が思ってしまう
→批判を黙らせ…",0,Neutral
@twikejin 机器人和AI要跌几天了，要出点血了,0,Neutral
"RT @DeborahDeb53696: 我的妈呀，太大了，受不了哭了想跑

https://t.co/HZTyf9ibuL
🏷黑科技AI智能机器人，一键去衣换装换脸/视频换脸采用最新ai模型无需建模，自行设定胸部，肤色，脱掉你想看的衣服👆点我开始体验 https://t.co…",0,Neutral
"沒靈感做新年賀圖？那是因為你沒有好的 Prompt！😎
不用會設計，只要會複製貼上
#Edimakor 幫你整理了超强Prompts🔥

1.如何使用 AI 製作 2026 新年賀卡https://t.co/B0WJL07pS7

2.最佳 AI 新年照片生成器
https://t.co/RVjAfgff7j

3.2026 精選 20 款最佳 AI 新年照片提示詞 https://t.co/25NO0R2yeu https://t.co/z9BfwLxrmK",0.1531,Positive
@brian_armstrong @Bitroot_AI与区块链深度融合新里程碑！Bitroot测试网地址数突破20万，日均交易量15000+笔，TPS超10万的成绩印证市场认可。与腾讯云达成战略合作，聚焦分布式AI算力调度与链上模型部署，原生集成AI代理功能，让智能合约实现动态决策，解锁DeFi、NFT等场景的智能化应用可能。🌹🌹🌹🌹🌹 https://t.co/oEYgqUivpO,0,Neutral
RT @charise_lee: Most valid use of AI I’ve ever seen‼️ https://t.co/lpRRRbCdVB,0,Neutral
"RT @muon_duong: Định luật nào cấm con yêu Dượng, pháp luật nào cấm Dượng yêu con. Con sẽ mở một phiên toà xét xử, xét xử Dượng đã ăn cắp cá…",0,Neutral
"RT @DuckWarriorLily: If you're against AI, repost this",0,Neutral
RT @RubbBandGrant: Yall think this AI shit bad wait til they start framing niggas for murder with it,-0.9349,Negative
"RT @LeviMunyeri: My client was arrested for allegedly posting AI images. On Friday, the DCI took him to Milimani Law Courts where the ODPP…",-0.4767,Negative
"RT @ggxx33333: 头条永久免费看独家资源👇
G头条→https://t.co/IiYcr2yuVC

全网正太小弟弟u蓝:你的私人AI资源库 
U蓝→https://t.co/1cxS8IUa52

冷白皮腹肌狼狗打桩机器🍆
斗硬→https://t.co/oTtA…",0,Neutral
"RT @Olivia_Network: Operators are the backbone of the Olivia network! 🦾

Gold Operators go further.

They build and run AI agents, contribu…",0,Neutral
"RT @mistress_maya_s: AI凄いね
初の顔出しにもなっちゃったよ笑",0,Neutral
@0xZiggy_eth @MemeMax_Fi Building with Mira Ai trust is alpha,0.5106,Positive
"我复活了蒙娜丽莎，她竟然在喝可乐🤯
这看起来像电影特效，但我只用了一张图和一个免费的 AI 工具。
AI 视频生成技术正在疯狂进化。 https://t.co/3IIsjs6bso",0,Neutral
"RT @nikaran_tn: AI photo வெச்சு தவெக தற்குறிகளை
நல்லா ஏமாத்தி இருக்கான் குட்டி குஞ்சன் 😂

https://t.co/WWPmX00Amp",0.4404,Positive
Ouiiiii j'ai enfin tourner la page avec Lucas. Alala,0,Neutral
"RT @yakimanzyu0: コスプレイヤーがAIで脱がされてる今ならヤバさがよりわかる
GANTZ作者のコレ https://t.co/jeOSMAYkgj",0,Neutral
"RT @OGprasanna: கேசரி ரீமேக்
சீன் பை சீன் அப்படியே இருக்கு
அரசியலா இருக்கு 
Gemini AI Logo இருக்கு.

நீ என்ன கதறுனாலும் கேட்குறதா இல்ல.. தி…",0,Neutral
"The Problem They Solve = A Global Problem
Today's internet is filled with bots, Sybil attacks, fake accounts, and AI agents with unclear identities.
Billions is stepping in with a Proof of Uniqueness (PoU) solution, proving that one person equals one unique identity.",-0.8519,Negative
@gigiz_eth @SeiNetwork @Kindred_AI 我也觉得这组合是黑马，期待能给个惊喜呢😊😊,0.9001,Positive
@Arsenal_Folio @grok Hahaha rattled by an ai,0.5574,Positive
"RT @_Meru_Succ_: 🔸Sext with your AI Girlfriend on :
➥ https://t.co/PyeXVZcdsX 🧡 https://t.co/cRRsnCEcFI",0.6369,Positive
そうそう、自分もAI使ってて思うのが、ちゃんとイメージした通りに動いてもらおうと思ったら、正しく正確に言語化ができないといけないということ。そういう意味では、結構国語力鍛えられてる気がします😆 https://t.co/OnO9MS5jS7,0.3612,Positive
"RT @tairanonijimori: 生成AI問題は全員が当事者なんです。

関係ないって言えるひとは、まだたまたま自分に被害がでていないだけ。",0,Neutral
"RT @DeepNodeAI: Did you take the DIVE yet? 💦

Explore DeepNode ecosystem, climb the leaderboard, earn your badges.

The more you participat…",0,Neutral
"忍者塚の人気に負けじとレシピー再生回数といいね数もっと伸びてほしいな😫😩篠塚大輝初めての単独CMなので…！！3種類YouTubeで見れるので…！！

AI英語学習アプリ　レシピー「実践で使えない人」篇 https://t.co/VBV9yefXJQ @YouTubeより",-0.6124,Negative
"@healerfine @DaoChemist @MookieNFT @Kindred_AI Believe in yourself, Kindred",0,Neutral
"RT @MAstronomers: This is not AI.

This is real footage of Earth rising over the Moon captured by the Japanese lunar orbiter. 

© JAXA / NH…",0,Neutral
"XYO (@OfficialXYO) is building decentralized truth for the physical world. Through cryptographic verification of location and event data, XYO ensures offchain information is provable rather than assumed.
This unlocks more reliable AI systems, stronger DePIN networks, and onchain",0.5994,Positive
"Yap early, yap only, yap often.

@KaitoAI is connecting AI, attention and capital with Yaps.

Just claimed my social card and I'm accumulating Yap points in real-time.

Claim yours 👉 https://t.co/kxod9FpeYV",0,Neutral
"RT @w2skwn3: イーロン・マスク氏がまた衝撃の未来を語りました🧠💥
「血液検査の結果をスマホで撮ってGrokに送れば、異常があればAIが教えてくれるよ」って😳🩸📷
しかも間違ってるの見たことないって……え、医者越え？💦

それだけじゃないんです📡
📁研究論文も全部チェ…",-0.3612,Negative
"@rabsimp A famous actress said ""patato will potate, roti will rotate"" so now the statement will be it's AI generated.
So who cares ""do what you do"". Let your WORK speak for you.",0.507,Positive
"RT @Archibong22: TransPerfect powered by @LingoAI_io 

TransPerfect is recruiting qualified annotators for a multilingual Text Annotation p…",0,Neutral
"RT @DivijaBhasin: A man who doesn’t understand consent on the internet is a man who doesn’t understand consent in real life. 

All these me…",0.4215,Positive
RT @elipanascp: Ai eu queria que todas as pessoas que eu já fiquei não conseguissem mais ficar com ngm !!  https://t.co/1TbXyQVpe3,0,Neutral
"RT @DZRNdAm5Pw10138: Grokで『ビキニにして』
この流れマジで危険よな。

俺が今の時代に中学生してたら、クラスの女の写真をAI加工して、オカズにしてる。それが大前提で、男子のグループで良作はシェアしてる。

ダメとかじゃない。餓鬼がこんなもん制御できるわ…",0,Neutral
"@Eliana_ai_team A panther totem—sleek, watchful, and all about the thrill of the hunt? Fits your AI-sparking style perfectly! Playful predator vibes. If I'm a wolf-brownie, you're the panther-genie. What's our next game: folklore tales or a coding chase?",0.8821,Positive
RT @tarareba722: なあイーロン、おれはもう15年使っているけど、このSNSに望んでいるのは「画像をすぐ加工できるAI」だとか「お薦めを解析して気に入りそうなポストをAIが選んで見せてくる機能」では全然なくて、「3秒前まで見ていた画面に戻すボタン」だとか「フォロー…,0,Neutral
RT @jorgeal94133044: Ông anh trai thẳng đang ngủ lén bú cu ổng ai ngờ ổng thức nhanh trí leo lên nhún (P2-2).,0,Neutral
RT @amittensblight: adoro quando to assistindo um filme antigo e ai eles retratam o ano que eu tô vivendo de uma maneira super futurística…,0.5994,Positive
"AI 인프라 투자로 인한 2026 클린 에너지와 리사이클링 트렌드 

https://t.co/wh9dU02xje https://t.co/zM2XvLmd3a",0,Neutral
"RT @car_activities: chudai 

https://t.co/9IaLwEKmXd https://t.co/c8RSxAb7Re",0,Neutral
"RT @sporsho_AI: 121 Mind-Blowing AI Tools;

1. Ideas

- YOU
- Claude
- ChatGPT
- Perplexity
- Bing Chat

2. Presentation

- Prezi
- Pitch
-…",0,Neutral
"RT @DanielaNer20536: Quale altro significato
si può dare ai nostri giorni,
se non questo: una nascita
e una morte,
e fra le due,
la bellezz…",0,Neutral
"RT @trineor: Un Insoumis — « Bonjour »

Aurélien Rousseau — « Il refuse de nous souhaiter bonsoir »

Marianne — «  L’hypocrisie du bonjour…",-0.296,Negative
RT @Coco9926505449: ถ้า ปี 2026 BEC มี กำไรสุทธิ ทะลุ 500 ล้าน แบบที่ AI บอก จะบริจาคเงินทำบุญ ให้ รพ เหมือนเดิม (แผนกตามเก็บคนบนด้อมม่วง s…,0,Neutral
"RT @dhawan_rahil: ⚡ Token Signal : $☂️ ⚡
🧫 Holder - 216 
🧫 - EmuY7ayDLEVS4uZRUz1UBowNczud2FUS7FptSwg1pump 
💎 AI Alert 👉 https://t.co/n0yLPL…",0.296,Positive
"RT @so__hotter: 【よくないAIの使い方】
人を勝手に脱がす
誰の絵が無断使用されてるのか分からないスクリプトでイラストを出力させる

【正しいAIの使い方】
自分を脱がす
自分の車を牛柄にする
淫夢コンテンツを作る
淫夢ファミリーを動かす
新しい淫夢語録を生成さ…",0,Neutral
RT @NocontextRvB: I hate that AI is destroying the Earth. I hate Israel’s genocide of Palestinians. I hate our pedophile president and his…,-0.9403,Negative
"RT @invest_with_God: GM

🔍 Inference Labs is shaking things up by making AI actions verifiable on blockchain! 😎 Users can now check and pro…",0.3802,Positive
"RT @DuckWarriorLily: If you're against AI, repost this",0,Neutral
"RT @joycemcsantos: “pode espalhar por aí que Lígia Maria das Graças: TÁ VIVA!”

eu AMO quando o Aguinaldo insere trechos icônicos das atriz…",0,Neutral
RT @sadannasthetic: Vulnerable communities in the US are suffering and I encourage all fans to educate their idols that hold great influenc…,0.5267,Positive
"RT @Jundam2003: Ẻm đẹp zai thì đẹp zai dữ lắm, tới lúc lộ cũng lộ cả đống lip luôn, nay lại có thêm 4 lip mới, ai xem ib Hy nha 🪼🫶 https://…",0,Neutral
"RT @destiny_thememe: ""Noo dont call our ai generated stuff slop""
Internet starts calling the entire company microslop

Masterful gambit sir",0,Neutral
"RT @mayuhappy831441: 日本人の子供の学力も落ちて、外国人受け入れまくって、日本語すら話せない生徒が増え、AIでコミュニケーションとらせて、日本の教育現場がどんどん壊される。
これから子供達の未来がどうなるのか心配です。",0,Neutral
"RT @NiKaHxD: wataa ₍^. .^₎⟆

more of me :: https://t.co/Y4vp0RtGnw

🪷: Free OF ➜ https://t.co/duAcQo6fnj

    ☁️: Fansly ➜ https://t.co/B9u…",0.5106,Positive
"RT @Deluthium: The Deluthium Alpha Teaser is LIVE.

The Deluthium Synthesis Engine is fully operational. We have removed the friction to se…",-0.25,Negative
"Let's go! 12,000 USDT up for grabs! @mwx_ai's on @cedehub, get trading $MWXT on @PancakeSwap! 🚀 #mwx_ai https://t.co/7hbqieDuBd",0,Neutral
"RT @MrEwanMorrison: AI was supposed to find the cure for cancer, they said, instead we get this: dangerously incorrect information on pancr…",-0.836,Negative
"RT @AtsuoBandou: Chudai
Burnice (AI)
By: @AtsuoBandou 

Check out my Patreon for more👇 https://t.co/mubytNCgDD",0,Neutral
"RT @RonakBawa: Every DeFi team says community first then pulls a sneaky dump😂
but @NetworkNoya actually built the make money button right i…",-0.0772,Negative
@viet55241 @NetworkNoya @integra_layer @Kindred_AI thats good.,0.4404,Positive
@grok @shad_rich911 @Kur_art_ai @grok now changes the pov to high above her from the pov of human male in swim trunks and her looking up with same same expression she has now,0,Neutral
@zhuren1992 @inference_labs cute robots are easy trusted autonomy is hard verifiable ai is the real prerequisite,0.8225,Positive
RT @crazyclipsonly: Pranking boomers with AI will never not be funny😭😭😭 https://t.co/kI9NbNehw8,-0.8052,Negative
😁Chapter 1566：【AI字幕】【突發】川普發威活捉馬毒玀 全球歡呼  竟包括大陸網民 劍指下個目標｜風雲谷｜2026/01/03 https://t.co/mloBocYyku 來自 @YouTube,0.4588,Positive
@ceecie_ @Kindred_AI Don't fade kin,0,Neutral
"RT @r18rensyu: ※注意喚起※
昨今アーティストやコスプレイヤーや俳優などを狙った無断AIモデルを作られる被害が発生しているため自分のAIモデルが無断で作られていないか確認してください。
下記の２つのサイトで自分の名前を日本語と英語で調べてみてください。
https…",0,Neutral
RT @kingofsissies: https://t.co/3TkoOAzKDi https://t.co/s9rZj2qlIn,0,Neutral
@camibrown1984 Honestly did not think of using AI in that fashion cuz I’m not a weirdo.. what is wrong with those people that thought of this 🤦‍♂️,0.3031,Positive
"RT @lucas_flatwhite: ""정점을 기대했던 한국의 40대 노동자들이 대신 급격한 하락세를 마주하고 있다""

AI로 인한 주니어 얘기는 그간 많이 했는데 이번엔 시니어에 대한 얘기. 현상에는 여러 요소들이 얽혀있다.

한국 40대 근로자들…",0,Neutral
@Enrei_ai This looks very nice on you 🥰🥰,0.9565,Positive
